Autor del libro|título del libro|link para descarga
Mario Vargas Llosa|Seleccion de Articulos|https://drive.google.com/file/d/0B_yJXv2pEPBwTHF0ZlRSd1U3YnM/view?usp=drivesdk&resourcekey=0-_yySkWwF5qwq6K477e8dHw
Mario Vargas Llosa|Quien Mato A Palomino Molero|https://drive.google.com/file/d/0B_yJXv2pEPBwQVFqeTdJbGVvUDg/view?usp=drivesdk&resourcekey=0-gWRQPSNWtMQNaV-srLQQMg
Mario Vargas Llosa|Pantaleon Y Las Visitadoras|https://drive.google.com/file/d/0B_yJXv2pEPBwWmgtQ1lCb0VXMDA/view?usp=drivesdk&resourcekey=0-Cq9pCZmG5SfOipbhmR615g
Mario Vargas Llosa|Los Cuadernos De Don Rigoberto|https://drive.google.com/file/d/0B_yJXv2pEPBwOVZzVF9UUk10Y2s/view?usp=drivesdk&resourcekey=0-rPBSp2pWEqhV2NP2G7-_cQ
Mario Vargas Llosa|Lituma En Los Andes|https://drive.google.com/file/d/0B_yJXv2pEPBwUlU2RFBTYm5sRVk/view?usp=drivesdk&resourcekey=0-LrQupkll6P19Yy60id_4fg
Mario Vargas Llosa|La Tia Julia Y El Escribidor|https://drive.google.com/file/d/0B_yJXv2pEPBweEw2b0lOcTdpS28/view?usp=drivesdk&resourcekey=0-O9ZRCyzhWm8gJGI-hpykEA
Mario Vargas Llosa|La Guerra Del Fin Del Mundo|https://drive.google.com/file/d/0B_yJXv2pEPBwSkNPVEQzczU1cVE/view?usp=drivesdk&resourcekey=0-8Jtz-t1WnK6STkiZLy_tPw
Mario Vargas Llosa|La fiesta del chivo|https://drive.google.com/file/d/0B_yJXv2pEPBwdm0tMlUzTG9VWnM/view?usp=drivesdk&resourcekey=0-39pm7Kjzu8SmztLxEnrXsA
Mario Vargas Llosa|El Paraiso En La Otra Esquina|https://drive.google.com/file/d/0B_yJXv2pEPBwMElnZXUwTUlRalU/view?usp=drivesdk&resourcekey=0-rl15dRIBF_KLt3TB1JMsvw
Mario Vargas Llosa|Cartas a Un Joven Novelista|https://drive.google.com/file/d/0B_yJXv2pEPBwbnVsSkdKZkJJV00/view?usp=drivesdk&resourcekey=0-DbEW052PS7Fx-Me9b0sZsg
Pierre Versins|Vaya Planeta|https://drive.google.com/file/d/0B_yJXv2pEPBwczhoVktEanhXR3M/view?usp=drivesdk&resourcekey=0-pX00ldTNJZUyoh6KTVg0vA
